customer_key,customer_number,customer_name,age_group,cust_segmentation,last_order_date,recency,total_orders,total_sales,total_quantity,total_products,time_spam,avg_order_value,avg_monthly_value,active_customer
18,AW00011017,Shannon Wang,60 & Above,VIP,2013-10-14,138,3,6434.0,4.0,4,33,2144.67,194.97,False
19,AW00011018,Clarence Rai,60 & Above,VIP,2013-10-24,138,3,6533.0,7.0,7,33,2177.67,197.97,False
21,AW00011020,Jordan King,40-49,New,2012-12-29,148,1,2317.0,2.0,2,0,2317.0,2317.0,False
22,AW00011021,Destiny Wilson,40-49,New,2013-01-23,147,1,2372.0,3.0,3,0,2372.0,2372.0,False
23,AW00011022,Ethan Zhang,40-49,New,2013-01-20,147,1,2322.0,2.0,2,0,2322.0,2322.0,False
26,AW00011025,Alejandro Beck,60 & Above,VIP,2013-10-25,138,3,6577.0,6.0,6,33,2192.33,199.3,False
27,AW00011026,Harold Sai,60 & Above,VIP,2013-10-15,138,3,6575.0,7.0,7,32,2191.67,205.47,False
28,AW00011027,Jessie Zhao,60 & Above,VIP,2013-10-24,138,3,6591.0,9.0,9,33,2197.0,199.73,False
29,AW00011028,Jill Jimenez,60 & Above,VIP,2013-10-07,138,3,6474.0,5.0,5,32,2158.0,202.31,False
30,AW00011029,Jimmy Moreno,60 & Above,VIP,2013-11-11,137,3,6565.0,7.0,7,33,2188.33,198.94,False
31,AW00011030,Bethany Yuan,60 & Above,VIP,2013-11-09,137,3,6471.0,4.0,4,33,2157.0,196.09,False
32,AW00011031,Theresa Ramos,60 & Above,VIP,2013-11-13,137,3,6478.0,6.0,6,33,2159.33,196.3,False
33,AW00011032,Denise Stone,60 & Above,VIP,2013-11-08,137,3,6525.0,10.0,10,32,2175.0,203.91,False
34,AW00011033,Jaime Nath,60 & Above,VIP,2013-11-05,137,3,6495.0,7.0,7,32,2165.0,202.97,False
35,AW00011034,Ebony Gonzalez,60 & Above,VIP,2013-11-10,137,3,6491.0,4.0,4,33,2163.67,196.7,False
36,AW00011035,Wendy Dominguez,60 & Above,VIP,2013-11-15,137,3,6451.0,5.0,5,33,2150.33,195.48,False
37,AW00011036,Jennifer Russell,40-49,New,2013-01-22,147,1,2355.0,2.0,2,0,2355.0,2355.0,False
38,AW00011037,Chloe Garcia,40-49,New,2013-01-20,147,1,2374.0,7.0,7,0,2374.0,2374.0,False
39,AW00011038,Diana Hernandez,60 & Above,VIP,2013-11-12,137,3,6437.0,3.0,3,33,2145.67,195.06,False
40,AW00011039,Marc Martin,60 & Above,VIP,2013-11-11,137,3,6636.0,9.0,8,33,2212.0,201.09,False
41,AW00011040,Jesse Murphy,40-49,New,2013-04-03,145,1,2351.0,3.0,3,0,2351.0,2351.0,False
42,AW00011041,Amanda Carter,40-49,New,2013-01-14,147,1,2381.0,3.0,3,0,2381.0,2381.0,False
43,AW00011042,Megan Sanchez,40-49,New,2013-10-17,138,2,3112.0,3.0,3,8,1556.0,389.0,False
45,AW00011044,Adam Flores,60 & Above,VIP,2013-11-08,137,3,6515.0,7.0,7,32,2171.67,203.59,False
47,AW00011046,Christine Yuan,60 & Above,VIP,2013-11-12,137,3,6616.0,6.0,6,33,2205.33,200.48,False
48,AW00011047,Jaclyn Lu,60 & Above,VIP,2013-11-19,137,3,6582.0,4.0,4,33,2194.0,199.45,False
49,AW00011048,Jeremy Powell,60 & Above,VIP,2013-12-25,136,3,6498.0,8.0,8,34,2166.0,191.12,False
51,AW00011050,Alan Zheng,60 & Above,VIP,2013-11-19,137,3,5007.0,6.0,6,32,1669.0,156.47,False
52,AW00011051,Daniel Johnson,60 & Above,New,2014-01-01,136,2,124.0,5.0,5,0,62.0,124.0,False
53,AW00011052,Heidi Lopez,60 & Above,VIP,2013-05-27,143,3,8131.0,7.0,7,27,2710.33,301.15,False
54,AW00011053,Ana Price,30-39,New,2013-01-17,147,1,2330.0,2.0,2,0,2330.0,2330.0,False
55,AW00011054,Deanna Munoz,60 & Above,VIP,2013-05-30,143,3,8223.0,6.0,6,27,2741.0,304.56,False
56,AW00011055,Gilbert Raje,60 & Above,VIP,2013-06-07,142,3,8168.0,8.0,8,28,2722.67,291.71,False
57,AW00011056,Michele Nath,60 & Above,VIP,2013-05-31,143,3,8207.0,8.0,8,27,2735.67,303.96,False
58,AW00011057,Carl Andersen,50-59,VIP,2013-05-21,143,3,8088.0,4.0,4,26,2696.0,311.08,False
59,AW00011058,Marc Diaz,60 & Above,VIP,2013-06-04,142,3,8248.0,6.0,6,26,2749.33,317.23,False
60,AW00011059,Ashlee Andersen,60 & Above,New,2013-03-16,145,3,117.0,7.0,6,0,39.0,117.0,False
61,AW00011060,Jon Zhou,60 & Above,VIP,2013-06-25,142,3,8153.0,6.0,6,27,2717.67,301.96,False
62,AW00011061,Todd Gao,40-49,VIP,2013-06-14,142,3,8129.0,6.0,6,27,2709.67,301.07,False
63,AW00011062,Noah Powell,40-49,New,2013-01-07,147,1,2352.0,3.0,3,0,2352.0,2352.0,False
64,AW00011063,Angela Murphy,40-49,New,2013-01-12,147,1,2373.0,5.0,5,0,2373.0,2373.0,False
65,AW00011064,Chase Reed,40-49,New,2013-01-25,147,1,2305.0,2.0,2,0,2305.0,2305.0,False
70,AW00011069,Carolyn Navarro,50-59,VIP,2013-06-04,142,3,8104.0,3.0,3,25,2701.33,324.16,False
71,AW00011070,Willie Raji,60 & Above,VIP,2013-06-26,142,3,8165.0,10.0,9,25,2721.67,326.6,False
73,AW00011072,Casey Luo,60 & Above,VIP,2013-06-15,142,3,8194.0,7.0,7,26,2731.33,315.15,False
76,AW00011075,Felicia Jimenez,60 & Above,VIP,2013-06-24,142,3,8068.0,5.0,5,25,2689.33,322.72,False
77,AW00011076,Blake Anderson,60 & Above,VIP,2013-06-21,142,3,8159.0,4.0,4,26,2719.67,313.81,False
78,AW00011077,Leah Ye,60 & Above,VIP,2013-06-12,142,3,8169.0,5.0,5,25,2723.0,326.76,False
81,AW00011080,Damien Chander,60 & Above,VIP,2013-06-23,142,3,8204.0,7.0,7,26,2734.67,315.54,False
83,AW00011082,Angela Butler,50-59,New,2013-11-06,137,2,3110.0,6.0,6,9,1555.0,345.56,False
84,AW00011083,Alyssa Cox,40-49,New,2013-11-08,137,2,3137.0,5.0,5,10,1568.5,313.7,False
85,AW00011084,Lucas Phillips,60 & Above,New,2013-11-21,137,2,3078.0,5.0,5,10,1539.0,307.8,False
86,AW00011085,Emily Johnson,60 & Above,New,2014-01-08,135,2,129.0,5.0,5,1,64.5,129.0,False
89,AW00011088,Hunter Davis,60 & Above,New,2013-11-12,137,2,3176.0,7.0,7,9,1588.0,352.89,False
90,AW00011089,Abigail Price,60 & Above,New,2013-11-18,137,2,3188.0,7.0,7,10,1594.0,318.8,False
91,AW00011090,Trevor Bryant,50-59,VIP,2013-11-21,137,3,6703.0,6.0,6,27,2234.33,248.26,False
92,AW00011091,Dalton Perez,60 & Above,New,2014-01-08,135,28,1186.0,59.0,25,11,42.36,107.82,False
93,AW00011092,Cheryl Diaz,50-59,VIP,2013-06-21,142,3,8110.0,5.0,5,26,2703.33,311.92,False
94,AW00011093,Aimee He,40-49,VIP,2013-06-08,142,3,8180.0,7.0,7,26,2726.67,314.62,False
96,AW00011095,Chad Kumar,50-59,VIP,2013-06-25,142,3,8158.0,7.0,7,26,2719.33,313.77,False
97,AW00011096,Andrés Anand,50-59,VIP,2013-07-30,141,3,8063.0,4.0,4,27,2687.67,298.63,False
98,AW00011097,Edwin Nara,50-59,VIP,2013-07-24,141,3,8099.0,5.0,5,27,2699.67,299.96,False
100,AW00011099,Adam Ross,50-59,VIP,2013-07-01,142,3,8216.0,9.0,8,26,2738.67,316.0,False
101,AW00011100,Latasha Navarro,50-59,VIP,2013-08-07,140,3,8172.0,7.0,7,27,2724.0,302.67,False
102,AW00011101,Abby Sai,50-59,VIP,2013-06-29,142,3,8262.0,7.0,7,26,2754.0,317.77,False
104,AW00011103,Cassie Chande,40-49,VIP,2013-06-06,142,3,8182.0,8.0,8,25,2727.33,327.28,False
105,AW00011104,Edgar Sara,50-59,VIP,2013-06-15,142,3,8173.0,6.0,6,25,2724.33,326.92,False
106,AW00011105,Candace Fernandez,50-59,VIP,2013-06-05,142,3,8096.0,5.0,5,24,2698.67,337.33,False
107,AW00011106,Jessie Liu,50-59,VIP,2013-06-15,142,3,8079.0,3.0,3,24,2693.0,336.63,False
108,AW00011107,Bianca Lin,40-49,VIP,2013-06-21,142,3,8171.0,6.0,6,25,2723.67,326.84,False
109,AW00011108,Kari Alvarez,50-59,VIP,2013-06-23,142,3,8124.0,5.0,5,25,2708.0,324.96,False
110,AW00011109,Ruben Kapoor,40-49,VIP,2013-06-24,142,3,8245.0,8.0,8,25,2748.33,329.8,False
111,AW00011110,Curtis Yang,50-59,VIP,2013-08-20,140,3,8093.0,5.0,5,27,2697.67,299.74,False
112,AW00011111,Meredith Gutierrez,50-59,VIP,2013-08-22,140,3,8137.0,8.0,8,27,2712.33,301.37,False
113,AW00011112,Crystal Wang,50-59,VIP,2013-09-02,140,3,8295.0,6.0,6,27,2765.0,307.22,False
118,AW00011117,April Deng,50-59,VIP,2013-06-25,142,3,8185.0,8.0,8,25,2728.33,327.4,False
121,AW00011120,Beth Jiménez,60 & Above,VIP,2013-09-19,139,3,8242.0,10.0,10,28,2747.33,294.36,False
125,AW00011124,Ross Jordan,50-59,VIP,2013-06-18,142,3,8129.0,6.0,6,25,2709.67,325.16,False
127,AW00011126,Shaun Carson,60 & Above,Regular,2013-11-03,138,3,4971.0,8.0,7,29,1657.0,171.41,False
129,AW00011128,Samantha Long,40-49,New,2013-08-12,140,2,144.0,7.0,7,1,72.0,144.0,False
130,AW00011129,Julia Wright,40-49,VIP,2013-01-09,147,2,5873.0,2.0,2,17,2936.5,345.47,False
133,AW00011132,Melissa Richardson,30-39,New,2013-04-09,144,1,2372.0,6.0,6,0,2372.0,2372.0,False
135,AW00011134,Larry Townsend,60 & Above,Regular,2013-11-03,138,3,4911.0,3.0,3,30,1637.0,163.7,False
136,AW00011135,Marcus Harris,40-49,New,2013-04-18,144,1,2335.0,3.0,3,0,2335.0,2335.0,False
137,AW00011136,Brianna Morgan,40-49,New,2013-01-03,148,1,2381.0,3.0,3,0,2381.0,2381.0,False
145,AW00011144,Edward Hernandez,40-49,New,2013-01-25,147,1,2400.0,3.0,3,0,2400.0,2400.0,False
146,AW00011145,Jasmine Coleman,30-39,New,2013-01-25,147,1,2310.0,3.0,3,0,2310.0,2310.0,False
148,AW00011147,Ernest Wu,60 & Above,VIP,2013-10-16,138,3,8195.0,7.0,7,29,2731.67,282.59,False
152,AW00011151,Melinda Gill,60 & Above,VIP,2013-10-20,138,3,8087.0,6.0,6,29,2695.67,278.86,False
153,AW00011152,James Williams,40-49,New,2013-01-09,147,1,2295.0,1.0,1,0,2295.0,2295.0,False
154,AW00011153,Angela James,40-49,New,2013-03-29,145,2,110.0,5.0,5,0,55.0,110.0,False
155,AW00011154,Megan Walker,40-49,New,2013-01-10,147,1,2320.0,1.0,1,0,2320.0,2320.0,False
156,AW00011155,Hunter Robinson,40-49,New,2013-01-06,147,1,2320.0,1.0,1,0,2320.0,2320.0,False
157,AW00011156,Maria Roberts,40-49,New,2013-01-08,147,1,2390.0,4.0,4,0,2390.0,2390.0,False
159,AW00011158,Jason Wright,40-49,New,2013-01-19,147,1,2396.0,3.0,3,0,2396.0,2396.0,False
161,AW00011160,Maurice Tang,40-49,New,2013-02-21,146,1,2322.0,2.0,2,0,2322.0,2322.0,False
163,AW00011162,Chase Cox,40-49,New,2013-02-18,146,1,2330.0,2.0,2,0,2330.0,2330.0,False
166,AW00011165,Jocelyn Alexander,40-49,New,2013-06-05,142,2,103.0,3.0,3,0,51.5,103.0,False
168,AW00011167,Jasmine Barnes,40-49,New,2013-11-28,137,2,3126.0,4.0,4,10,1563.0,312.6,False
169,AW00011168,David Rodriguez,50-59,New,2013-11-16,137,2,3136.0,7.0,7,10,1568.0,313.6,False
172,AW00011171,Jonathan Hill,40-49,VIP,2013-11-07,137,3,6716.0,8.0,8,26,2238.67,258.31,False
176,AW00011175,Luis Wang,50-59,VIP,2013-11-03,138,3,6710.0,8.0,8,26,2236.67,258.08,False
177,AW00011176,Mason Roberts,40-49,New,2014-01-27,135,28,1317.0,60.0,27,11,47.04,119.73,False
186,AW00011185,Ashley Henderson,60 & Above,New,2014-01-26,135,27,1616.0,68.0,29,11,59.85,146.91,False
190,AW00011189,Lawrence Blanco,60 & Above,VIP,2013-02-05,146,2,5944.0,6.0,6,17,2972.0,349.65,False
192,AW00011191,Kristi Perez,60 & Above,VIP,2013-11-06,137,3,6743.0,7.0,7,26,2247.67,259.35,False
198,AW00011197,Andrea Morris,60 & Above,New,2013-07-20,141,2,207.0,6.0,5,2,103.5,103.5,False
201,AW00011200,Jason Griffin,60 & Above,New,2014-01-20,135,27,1461.0,55.0,26,11,54.11,132.82,False
216,AW00011215,Ana Perry,60 & Above,New,2013-12-15,136,17,1154.0,32.0,21,10,67.88,115.4,False
217,AW00011216,Jasmine Torres,60 & Above,VIP,2013-02-05,146,2,5948.0,5.0,5,17,2974.0,349.88,False
218,AW00011217,Natalie Adams,60 & Above,VIP,2013-02-14,146,2,5953.0,3.0,3,18,2976.5,330.72,False
223,AW00011222,Alexandra Rivera,60 & Above,New,2013-11-28,137,2,208.0,6.0,6,0,104.0,208.0,False
224,AW00011223,Hailey Patterson,60 & Above,New,2014-01-06,135,27,1193.0,65.0,26,11,44.19,108.45,False
225,AW00011224,Tiffany Li,60 & Above,VIP,2013-12-03,137,3,6685.0,5.0,5,27,2228.33,247.59,False
228,AW00011227,Marshall Chavez,60 & Above,VIP,2013-02-10,146,2,5910.0,5.0,5,18,2955.0,328.33,False
238,AW00011237,Clarence Anand,60 & Above,VIP,2013-11-25,137,4,10566.0,6.0,6,26,2641.5,406.38,False
239,AW00011238,Mayra Prasad,60 & Above,VIP,2013-04-30,144,4,7543.0,9.0,9,27,1885.75,279.37,False
240,AW00011239,Latoya Goel,50-59,VIP,2013-05-28,143,4,7511.0,11.0,11,28,1877.75,268.25,False
241,AW00011240,Anne Hernandez,60 & Above,VIP,2013-05-13,143,4,7586.0,13.0,10,26,1896.5,291.77,False
242,AW00011241,Lisa Cai,50-59,VIP,2013-10-29,138,7,11468.0,25.0,20,13,1638.29,882.15,False
243,AW00011242,Larry Munoz,60 & Above,VIP,2013-12-04,136,7,11067.0,12.0,12,14,1581.0,790.5,False
244,AW00011243,Robin Alvarez,60 & Above,VIP,2013-06-09,142,4,7164.0,12.0,10,27,1791.0,265.33,False
245,AW00011244,Alexis Coleman,50-59,VIP,2013-07-19,141,4,7175.0,12.0,11,29,1793.75,247.41,False
246,AW00011245,Ricky Vazquez,60 & Above,VIP,2013-12-11,136,4,10580.0,9.0,9,26,2645.0,406.92,False
247,AW00011246,Latasha Rubio,60 & Above,VIP,2013-12-20,136,4,10575.0,7.0,7,26,2643.75,406.73,False
248,AW00011247,Claudia Zhou,60 & Above,VIP,2013-08-17,140,4,7131.0,12.0,11,29,1782.75,245.9,False
250,AW00011249,Cindy Patel,50-59,VIP,2013-09-15,139,4,9890.0,11.0,11,23,2472.5,430.0,False
251,AW00011250,Shannon Liu,50-59,VIP,2013-08-06,140,4,7115.0,11.0,10,28,1778.75,254.11,False
252,AW00011251,Xavier Long,60 & Above,New,2013-10-18,138,1,2319.0,4.0,4,0,2319.0,2319.0,False
253,AW00011252,Nicholas Thompson,60 & Above,VIP,2013-12-18,136,3,6685.0,7.0,7,28,2228.33,238.75,False
255,AW00011254,Johnathan Vance,60 & Above,New,2013-12-14,136,2,204.0,9.0,9,0,102.0,204.0,False
256,AW00011255,Colin Lin,60 & Above,New,2013-03-31,145,2,114.0,5.0,5,1,57.0,114.0,False
258,AW00011257,Jacqueline Powell,60 & Above,VIP,2013-12-14,136,3,6676.0,6.0,6,27,2225.33,247.26,False
260,AW00011259,Victoria Stewart,50-59,VIP,2013-12-20,136,3,6770.0,5.0,5,27,2256.67,250.74,False
262,AW00011261,Stephanie Collins,50-59,VIP,2013-12-23,136,3,6650.0,4.0,4,26,2216.67,255.77,False
263,AW00011262,Jennifer Simmons,50-59,New,2014-01-22,135,27,1124.0,63.0,26,10,41.63,112.4,False
264,AW00011263,Trinity Richardson,50-59,VIP,2013-12-10,136,3,6753.0,9.0,9,27,2251.0,250.11,False
265,AW00011264,Eduardo Martin,50-59,New,2013-11-30,137,2,3182.0,8.0,8,10,1591.0,318.2,False
266,AW00011265,Elizabeth Jones,50-59,New,2013-01-03,148,1,2352.0,3.0,3,0,2352.0,2352.0,False
267,AW00011266,Taylor Howard,50-59,VIP,2013-01-20,147,2,5922.0,5.0,5,16,2961.0,370.13,False
268,AW00011267,David Diaz,40-49,VIP,2013-01-07,147,2,5943.0,5.0,5,15,2971.5,396.2,False
271,AW00011270,Robert Lee,50-59,VIP,2013-01-07,147,2,5984.0,5.0,5,15,2992.0,398.93,False
272,AW00011271,Danielle Reed,50-59,VIP,2013-01-22,147,2,5973.0,5.0,5,15,2986.5,398.2,False
273,AW00011272,Lauren Martinez,60 & Above,VIP,2013-01-13,147,2,5975.0,4.0,4,15,2987.5,398.33,False
274,AW00011273,Nathan Lal,60 & Above,New,2013-05-23,143,2,273.0,8.0,8,0,136.5,273.0,False
275,AW00011274,Kyle Foster,60 & Above,VIP,2013-02-24,146,2,5888.0,4.0,4,17,2944.0,346.35,False
276,AW00011275,Jenny Rai,60 & Above,VIP,2013-01-12,147,2,5955.0,4.0,4,16,2977.5,372.19,False
278,AW00011277,Charles Jackson,50-59,New,2014-01-16,135,27,1434.0,65.0,26,11,53.11,130.36,False
279,AW00011278,Jonathan Phillips,50-59,VIP,2013-01-03,148,2,5908.0,3.0,3,15,2954.0,393.87,False
282,AW00011281,Megan Barnes,50-59,VIP,2013-01-11,147,2,5921.0,5.0,5,15,2960.5,394.73,False
283,AW00011282,Christian Thomas,50-59,VIP,2013-01-02,148,2,5999.0,6.0,6,16,2999.5,374.94,False
287,AW00011286,Hunter Griffin,50-59,VIP,2013-01-20,147,2,5954.0,5.0,5,15,2977.0,396.93,False
288,AW00011287,Henry Garcia,50-59,New,2014-01-28,135,27,1165.0,62.0,23,11,43.15,105.91,False
290,AW00011289,Maria Carter,50-59,VIP,2013-01-16,147,2,5905.0,5.0,5,16,2952.5,369.06,False
291,AW00011290,Katelyn Sanchez,50-59,VIP,2013-01-27,147,2,5933.0,3.0,3,16,2966.5,370.81,False
292,AW00011291,Jenna Wright,50-59,VIP,2013-01-19,147,2,5873.0,2.0,2,16,2936.5,367.06,False
293,AW00011292,Seth Phillips,50-59,VIP,2012-12-31,148,2,5910.0,5.0,5,15,2955.0,394.0,False
296,AW00011295,Taylor Lewis,60 & Above,VIP,2013-01-09,147,2,6058.0,5.0,5,15,3029.0,403.87,False
297,AW00011296,Haley Richardson,60 & Above,VIP,2013-01-29,147,2,5897.0,4.0,4,16,2948.5,368.56,False
298,AW00011297,Noah Coleman,60 & Above,VIP,2013-02-20,146,2,5948.0,5.0,5,16,2974.0,371.75,False
299,AW00011298,Jon Luo,60 & Above,VIP,2013-02-21,146,2,5922.0,5.0,5,17,2961.0,348.35,False
300,AW00011299,Orlando Vazquez,60 & Above,VIP,2013-02-24,146,2,6015.0,4.0,4,16,3007.5,375.94,False
301,AW00011300,Fernando Barnes,50-59,New,2013-12-31,136,27,1499.0,67.0,28,11,55.52,136.27,False
303,AW00011302,Spencer Russell,50-59,VIP,2013-02-02,147,2,5938.0,5.0,5,16,2969.0,371.13,False
304,AW00011303,Julia Coleman,50-59,VIP,2013-02-23,146,2,5875.0,3.0,3,17,2937.5,345.59,False
305,AW00011304,Julia Garcia,50-59,New,2013-04-22,144,2,122.0,5.0,5,1,61.0,122.0,False
308,AW00011307,Hunter Rodriguez,50-59,VIP,2013-02-08,146,2,5964.0,5.0,5,17,2982.0,350.82,False
317,AW00011316,Luke Allen,60 & Above,New,2013-01-12,147,1,2350.0,2.0,2,0,2350.0,2350.0,False
318,AW00011317,Victoria Russell,60 & Above,VIP,2013-02-18,146,2,5873.0,2.0,2,17,2936.5,345.47,False
320,AW00011319,Jade Bailey,60 & Above,VIP,2013-02-24,146,2,5930.0,4.0,4,17,2965.0,348.82,False
324,AW00011323,Jose Patterson,60 & Above,VIP,2013-01-30,147,2,6074.0,6.0,6,16,3037.0,379.63,False
325,AW00011324,Zachary Anderson,60 & Above,VIP,2013-02-05,146,2,5945.0,4.0,4,16,2972.5,371.56,False
326,AW00011325,Elijah Ross,60 & Above,VIP,2013-01-31,147,2,6044.0,7.0,7,16,3022.0,377.75,False
327,AW00011326,Rafael Xie,60 & Above,VIP,2013-02-20,146,2,5948.0,5.0,5,17,2974.0,349.88,False
328,AW00011327,Jaime Moreno,60 & Above,VIP,2013-02-01,147,2,5915.0,5.0,5,16,2957.5,369.69,False
329,AW00011328,Julian Griffin,60 & Above,New,2013-04-07,144,2,4718.0,4.0,4,3,2359.0,1572.67,False
330,AW00011329,Andy Alvarez,60 & Above,VIP,2013-02-10,146,2,5898.0,2.0,2,16,2949.0,368.63,False
331,AW00011330,Ryan Thompson,60 & Above,New,2014-01-22,135,27,1134.0,57.0,24,11,42.0,103.09,False
332,AW00011331,Samantha Jenkins,50-59,New,2014-01-24,135,27,1327.0,58.0,24,11,49.15,120.64,False
333,AW00011332,Deanna Ramos,50-59,VIP,2013-01-06,147,2,5755.0,3.0,3,14,2877.5,411.07,False
334,AW00011333,Emily Miller,50-59,VIP,2013-07-14,141,3,8163.0,6.0,6,27,2721.0,302.33,False
335,AW00011334,Nicole Brown,50-59,VIP,2013-07-27,141,3,8154.0,6.0,6,28,2718.0,291.21,False
336,AW00011335,Carla Raman,40-49,VIP,2013-01-04,147,2,5744.0,4.0,4,14,2872.0,410.29,False
337,AW00011336,Shaun Raji,50-59,New,2013-01-05,147,2,4441.0,5.0,5,3,2220.5,1480.33,False
338,AW00011337,Jerome Romero,50-59,VIP,2013-07-19,141,3,8162.0,8.0,7,28,2720.67,291.5,False
339,AW00011338,Frank Navarro,50-59,VIP,2012-12-30,148,2,5745.0,5.0,5,14,2872.5,410.36,False
340,AW00011339,Dennis She,50-59,New,2013-01-25,147,2,4379.0,3.0,3,3,2189.5,1459.67,False
341,AW00011340,Melody Munoz,60 & Above,New,2013-01-02,148,2,4413.0,5.0,5,2,2206.5,2206.5,False
342,AW00011341,Randy Zeng,60 & Above,VIP,2013-07-19,141,3,8192.0,8.0,8,27,2730.67,303.41,False
344,AW00011343,Arthur Carlson,50-59,VIP,2013-07-24,141,3,8222.0,9.0,9,27,2740.67,304.52,False
345,AW00011344,Jessie Jimenez,60 & Above,VIP,2013-07-23,141,3,8119.0,7.0,7,26,2706.33,312.27,False
346,AW00011345,Robin Ramos,60 & Above,New,2012-12-31,148,2,4404.0,3.0,3,2,2202.0,2202.0,False
347,AW00011346,Deanna Gutierrez,50-59,New,2013-02-11,146,2,4503.0,7.0,7,4,2251.5,1125.75,False
352,AW00011351,Anne Ramos,60 & Above,VIP,2013-08-28,140,3,8068.0,5.0,5,26,2689.33,310.31,False
354,AW00011353,Carrie Ortega,60 & Above,VIP,2013-08-08,140,3,8078.0,6.0,6,25,2692.67,323.12,False
357,AW00011356,Terrence Carson,30-39,VIP,2013-10-31,138,3,5069.0,8.0,8,29,1689.67,174.79,False
358,AW00011357,Ramon Ye,40-49,Regular,2013-10-29,138,3,4943.0,5.0,5,28,1647.67,176.54,False
359,AW00011358,Cynthia Malhotra,40-49,VIP,2013-11-14,137,3,5034.0,8.0,8,28,1678.0,179.79,False
360,AW00011359,Jarrod Prasad,40-49,Regular,2013-12-04,136,3,4959.0,8.0,8,29,1653.0,171.0,False
361,AW00011360,Tyrone Serrano,40-49,VIP,2013-12-22,136,3,5025.0,6.0,6,29,1675.0,173.28,False
362,AW00011361,Cindy Ramos,40-49,New,2013-11-24,137,2,115.0,4.0,4,1,57.5,115.0,False
364,AW00011363,Julian Ross,40-49,VIP,2013-12-18,136,3,5035.0,5.0,5,30,1678.33,167.83,False
365,AW00011364,Jennifer Collins,40-49,Regular,2013-12-26,136,3,4921.0,4.0,4,30,1640.33,164.03,False
366,AW00011365,Brittney Sun,40-49,VIP,2013-12-22,136,3,5024.0,7.0,7,30,1674.67,167.47,False
369,AW00011368,Edward Miller,40-49,VIP,2013-12-01,137,3,5105.0,11.0,11,29,1701.67,176.03,False
373,AW00011372,Wendy Romero,40-49,Regular,2013-12-14,136,3,4965.0,5.0,5,30,1655.0,165.5,False
379,AW00011378,Shannon Liang,50-59,New,2013-02-14,146,2,4436.0,4.0,4,3,2218.0,1478.67,False
380,AW00011379,Gary Vazquez,40-49,New,2013-02-26,146,2,4426.0,4.0,4,4,2213.0,1106.5,False
381,AW00011380,Mitchell Kumar,60 & Above,VIP,2013-02-03,147,2,5838.0,6.0,6,15,2919.0,389.2,False
382,AW00011381,Meredith Raman,50-59,VIP,2013-08-18,140,3,8161.0,5.0,5,26,2720.33,313.88,False
383,AW00011382,Edward Patterson,50-59,New,2013-02-16,146,2,4344.0,2.0,2,3,2172.0,1448.0,False
388,AW00011387,Megan Ramirez,60 & Above,VIP,2013-04-01,145,3,6959.0,6.0,6,20,2319.67,347.95,False
389,AW00011388,Joseph Martin,60 & Above,VIP,2013-04-26,144,3,6987.0,7.0,7,21,2329.0,332.71,False
395,AW00011394,George McDonald,50-59,VIP,2013-08-02,141,3,8162.0,7.0,7,24,2720.67,340.08,False
396,AW00011395,Beth Gutierrez,40-49,VIP,2013-02-20,146,2,5730.0,3.0,3,15,2865.0,382.0,False
399,AW00011398,Colin Nath,50-59,VIP,2013-08-02,141,3,8114.0,4.0,4,24,2704.67,338.08,False
401,AW00011400,Franklin Raji,40-49,VIP,2013-07-19,141,3,6968.0,8.0,7,24,2322.67,290.33,False
